CityName,Lat,Lon,StateName,StateCode,County,Density,Population
Tiger,48.6916,-117.4077,Washington,WA,Pend Oreille,26.3,0
Warden,46.9681,-119.0515,Washington,WA,Grant,394,2716
Junction City,46.9713,-123.7651,Washington,WA,Grays Harbor,1.8,0
Blyn,48.0131,-122.9897,Washington,WA,Clallam,42.8,0
Lakebay,47.257,-122.7585,Washington,WA,Pierce,51.7,0
Tahuya,47.3712,-123.0557,Washington,WA,Mason,155,0
Waukon,47.5396,-117.8433,Washington,WA,Lincoln,0.7,0
Kitsap Lake,47.5829,-122.7085,Washington,WA,Kitsap,571.9,0
Sultan,47.8702,-121.8041,Washington,WA,Snohomish,648,8803
Plain,47.7626,-120.6573,Washington,WA,Chelan,10.2,0
Tanner,47.4813,-121.6922,Washington,WA,King,206.5,0
Stehekin,48.3093,-120.6565,Washington,WA,Chelan,0.7,0
Edmonds,47.8114,-122.3533,Washington,WA,Snohomish,1829,42209
North Hill,47.4193,-122.3235,Washington,WA,King,2208.6,0
Zillah,46.4083,-120.2718,Washington,WA,Yakima,699,3125
Monse,48.1413,-119.6778,Washington,WA,Okanogan,7.9,0
Lake Forest Park,47.7596,-122.2879,Washington,WA,King,1469,13392
Chinook,46.2755,-123.9425,Washington,WA,Pacific,323.8,0
Albion,46.7916,-117.2511,Washington,WA,Whitman,598,608
Skykomish,47.7103,-121.3584,Washington,WA,King,267,216
Yakima,46.5923,-120.5496,Washington,WA,Yakima,1302,133233
Pacific,47.261,-122.2507,Washington,WA,King,1149,7184
Wishram,45.6599,-120.9698,Washington,WA,Klickitat,106.8,0
Cascade Valley,47.1371,-119.3272,Washington,WA,Grant,576.1,0
Cathcart,47.8525,-122.1058,Washington,WA,Snohomish,214,0
Brush Prairie,45.725,-122.5483,Washington,WA,Clark,119.5,0
Amboy,45.9122,-122.4795,Washington,WA,Clark,120.2,0
Centerville,45.754,-120.9081,Washington,WA,Klickitat,37.3,0
Verlot,48.1002,-121.7679,Washington,WA,Snohomish,27.5,0
Alstown,47.561,-119.9951,Washington,WA,Douglas,1,0
Synarep,48.521,-119.3309,Washington,WA,Okanogan,4.2,0
Annapolis,47.5476,-122.6207,Washington,WA,Kitsap,1582,0
Port Gamble,47.8543,-122.5838,Washington,WA,Kitsap,138.5,0
Eatonville,46.8682,-122.2697,Washington,WA,Pierce,633,3038
Similk Beach,48.4479,-122.5779,Washington,WA,Skagit,269.4,0
Cougar,46.0515,-122.2995,Washington,WA,Cowlitz,52.9,0
Eglon,47.8626,-122.5146,Washington,WA,Kitsap,72.7,0
Paterson,45.9371,-119.6028,Washington,WA,Benton,43.3,0
Tenino,46.8537,-122.8607,Washington,WA,Thurston,491,1830
Minnehaha,45.6577,-122.6204,Washington,WA,Clark,1002.8,0
Raymond,46.6838,-123.7381,Washington,WA,Pacific,275,4136
Alger,48.6176,-122.3369,Washington,WA,Skagit,64.5,0
Roy,46.9971,-122.5423,Washington,WA,Pierce,652,820
Almira,47.7105,-118.9369,Washington,WA,Lincoln,205,276
Fragaria,47.464,-122.5312,Washington,WA,Kitsap,164.3,0
Green Bluff,47.819,-117.277,Washington,WA,Spokane,65.5,0
Woodmont Beach,47.3615,-122.3121,Washington,WA,King,1596.9,0
Frances,46.5423,-123.5049,Washington,WA,Pacific,13.2,0
Lynden,48.9503,-122.4544,Washington,WA,Whatcom,1019,17340
Clayton,48.0012,-117.5611,Washington,WA,Stevens,125.4,0
Everson,48.9123,-122.351,Washington,WA,Whatcom,800,4709
White Swan,46.3769,-120.7382,Washington,WA,Yakima,347.5,0
Camano,48.1865,-122.4708,Washington,WA,Island,306.3,0
Cedar Grove,47.4357,-122.0621,Washington,WA,King,107.3,0
Winton,47.7354,-120.7412,Washington,WA,Chelan,16.8,0
East Olympia,46.9676,-122.8357,Washington,WA,Thurston,241.2,0
Sunset Beach,47.2182,-122.5726,Washington,WA,Pierce,698.7,0
Belfair,47.4512,-122.8473,Washington,WA,Mason,257.3,0
Oso,48.2836,-121.9238,Washington,WA,Snohomish,72.7,0
Federal Way,47.309,-122.3359,Washington,WA,King,1680,96690
Scandia,47.7165,-122.6579,Washington,WA,Kitsap,292.5,0
Quilcene,47.8369,-122.9058,Washington,WA,Jefferson,119,0
Covada,48.2204,-118.2089,Washington,WA,Ferry,1.9,0
Keyport,47.6993,-122.6232,Washington,WA,Kitsap,579.7,0
Juanita,47.7032,-122.2071,Washington,WA,King,3292.4,0
Molson,48.981,-119.2006,Washington,WA,Okanogan,5,0
Daisy,48.3613,-118.16,Washington,WA,Stevens,21.8,0
Sumas,48.9956,-122.2695,Washington,WA,Whatcom,384,1464
Mill Creek,47.8633,-122.2034,Washington,WA,Snohomish,1747,20832
Lakewood,47.1628,-122.5299,Washington,WA,Pierce,1361,60296
Venersborg,45.786,-122.4721,Washington,WA,Clark,77,0
West Lake Sammamish,47.5776,-122.1012,Washington,WA,King,0,0
Port Angeles,48.1142,-123.4565,Washington,WA,Clallam,716,23865
Longview,46.146,-122.963,Washington,WA,Cowlitz,976,65619
Fairmont,47.902,-122.2543,Washington,WA,Snohomish,2665.2,0
Wapato,46.4434,-120.4215,Washington,WA,Yakima,1646,7686
East Port Orchard,47.5193,-122.6183,Washington,WA,Kitsap,961.3,0
North Omak,48.444,-119.4459,Washington,WA,Okanogan,5.3,0
East Farms,47.7074,-117.0524,Washington,WA,Spokane,753,0
Eschbach,46.667,-120.6337,Washington,WA,Yakima,231.1,0
Chattaroy,47.8896,-117.3577,Washington,WA,Spokane,68.3,0
Inchelium,48.3378,-118.2372,Washington,WA,Ferry,164.9,0
Maxwelton,47.9373,-122.4443,Washington,WA,Island,194.6,0
White Center,47.5086,-122.348,Washington,WA,King,4133.9,0
Medical Lake,47.5713,-117.6893,Washington,WA,Spokane,567,4818
Lyman,48.523,-122.0634,Washington,WA,Skagit,269,468
Arlington,48.1697,-122.1446,Washington,WA,Snohomish,756,19212
Ruston,47.2982,-122.51,Washington,WA,Pierce,1202,828
McCleary,47.0584,-123.2723,Washington,WA,Grays Harbor,318,1691
Sammamish,47.6019,-122.0419,Washington,WA,King,1219,64548
Covington,47.3668,-122.1044,Washington,WA,King,1363,20916
McMillin,47.1286,-122.2374,Washington,WA,Pierce,245.2,0
La Grande,46.8199,-122.2962,Washington,WA,Pierce,8.7,0
Cromwell,47.2743,-122.6224,Washington,WA,Pierce,394.2,0
Berrydale,47.3398,-122.1279,Washington,WA,King,358.7,0
Wenatchee,47.4338,-120.3285,Washington,WA,Chelan,1325,71512
Urban,48.6179,-122.6921,Washington,WA,Skagit,2.8,0
Maplewood,47.3715,-122.5689,Washington,WA,Pierce,153.7,0
Marys Corner,46.5471,-122.8226,Washington,WA,Lewis,112.6,0
Mattawa,46.7364,-119.9019,Washington,WA,Grant,2388,5122
Cove,47.452,-122.5079,Washington,WA,King,125.5,0
Chico,47.6234,-122.7198,Washington,WA,Kitsap,438.7,0
Maple Falls,48.9135,-122.1049,Washington,WA,Whatcom,154.4,0
Colvos,47.4762,-122.4907,Washington,WA,King,118.3,0
Ames Lake,47.6346,-121.9664,Washington,WA,King,379.3,0
Ellisforde,48.7899,-119.4012,Washington,WA,Okanogan,28.7,0
Selah,46.6482,-120.5389,Washington,WA,Yakima,662,7859
Pine Lake,47.5787,-122.0462,Washington,WA,King,1057.1,0
Tampico,46.5325,-120.8727,Washington,WA,Yakima,35.6,0
Colton,46.5675,-117.1285,Washington,WA,Whitman,292,467
Usk,48.3138,-117.2797,Washington,WA,Pend Oreille,120,0
Cle Elum,47.1946,-120.9553,Washington,WA,Kittitas,179,3768
Omak,48.4227,-119.5159,Washington,WA,Okanogan,478,8130
Eureka,46.3032,-118.6167,Washington,WA,Walla Walla,0,0
Harrington,47.4802,-118.2553,Washington,WA,Lincoln,404,411
Sedro-Woolley,48.5113,-122.232,Washington,WA,Skagit,1057,11838
Cherry Grove,45.8021,-122.5764,Washington,WA,Clark,120.6,0
La Push,47.9087,-124.6366,Washington,WA,Clallam,149.1,0
Lake Ketchum,48.282,-122.348,Washington,WA,Snohomish,352.6,0
Arletta,47.2901,-122.6676,Washington,WA,Pierce,251.3,0
Opportunity,47.6574,-117.2399,Washington,WA,Spokane,1210.6,0
Glenoma,46.5146,-122.1601,Washington,WA,Lewis,30.1,0
Curlew,48.8777,-118.6045,Washington,WA,Ferry,66.4,0
Hartline,47.6894,-119.1081,Washington,WA,Grant,178,154
Midland,47.1734,-122.412,Washington,WA,Pierce,783.9,0
Adna,46.629,-123.0612,Washington,WA,Lewis,72,0
Roslyn,47.2507,-121.0987,Washington,WA,Kittitas,84,947
Deer Park,47.9642,-117.4397,Washington,WA,Spokane,229,3868
Tracyton,47.6095,-122.6533,Washington,WA,Kitsap,787.1,0
Hunts Point,47.642,-122.229,Washington,WA,King,545,434
Koontzville,48.0157,-118.9472,Washington,WA,Okanogan,27.6,0
Fruitland,48.071,-118.1989,Washington,WA,Stevens,5.1,0
Chewelah,48.2929,-117.7336,Washington,WA,Stevens,341,2637
Mohler,47.4049,-118.3291,Washington,WA,Lincoln,4,0
East Renton Highlands,47.4718,-122.0854,Washington,WA,King,318.4,0
Sunnyside,46.3159,-120.0058,Washington,WA,Yakima,842,17927
Long Lake,47.836,-117.8488,Washington,WA,Lincoln,11.4,0
Wauna,47.3861,-122.6693,Washington,WA,Pierce,429.3,0
Liberty,47.2537,-120.6654,Washington,WA,Kittitas,15,0
Normandy Park,47.4344,-122.3436,Washington,WA,King,1027,6649
Mirrormont,47.4616,-121.9936,Washington,WA,King,582.8,0
Parkwood,47.5265,-122.5986,Washington,WA,Kitsap,918.9,0
Jamestown,48.1229,-123.0911,Washington,WA,Clallam,145.8,0
Forks,47.9526,-124.3904,Washington,WA,Clallam,359,4274
Wallula,46.0847,-118.9056,Washington,WA,Walla Walla,213,0
Nighthawk,48.9665,-119.642,Washington,WA,Okanogan,0.7,0
SeaTac,47.4445,-122.2986,Washington,WA,King,1126,29140
Royal City,46.9,-119.6142,Washington,WA,Grant,639,2205
Beaux Arts Village,47.5854,-122.2009,Washington,WA,King,1524,326
Steilacoom,47.17,-122.5935,Washington,WA,Pierce,1215,6337
Northport,48.9159,-117.7796,Washington,WA,Stevens,202,296
Eldon,47.5454,-123.046,Washington,WA,Mason,9.2,0
Ridgefield,45.8116,-122.7052,Washington,WA,Clark,422,7117
