Name, Longitude, Latitude
Yandaja Waterhole,116.05,-21.71667
Yandagooge Creek,122.13333,-22.15
Yancy Lake,115.73333,-30.81667
Yanchep Beach,115.6256,-31.55333
Yanchep,115.63171,-31.54678
Yanawinda Brook,116.2,-31.03333
Yampoopie Well,139.96667,-18.83333
Yampi Sound,123.63333,-16.13333
Yampi Canal,123.73333,-16.15
Yammara Creek,117.71667,-29.38333
Yam Hill,130.41667,-22.03333
Yam Hill,128.58333,-20.8
Yamerina Well,118.13333,-20.48333
Yam Creek,131.55,-13.43333
Yamboongunna Pool,118.7,-24.93333
Yambetharra Pool,114.01667,-23.56667
Yambarren Range,130.4,-15.21667
Yamballup Creek,117.58333,-34.65
Yamamilla Creek,139.96667,-20.36667
Yalwarra Lagoon,134.7,-14.73333
Yalura Well,135.38333,-25.45
Yalura,119.28333,-26.85
Yalungadunna,127.88333,-26.23333
Yalthoo Spring,114.21667,-27.61667
Yalteebarrabarra,135.38333,-28.95
Yaltaordla Hill,138.6,-31.66667
Yalpara,138.93333,-32.53333
Yalong Well,116.88333,-27.66667
Yaloginda Station,118.43333,-26.66667
Yaloginda,118.51667,-26.71667
Yalodinya,123.41667,-32.83333
Yalobia Well,114.03333,-24.25
Yalobia Well,113.76667,-23.21667
Yalobra Hill,113.78056,-23.20139
Yalobia,114.05,-24.26667
Yallurnie Waterhole,121.93333,-30.83333
Yallunda Flat,135.88333,-34.35
Yallum Hill,122.43333,-25.36667
Yallowboyango,117.88333,-28.83333
Yallote,118.96667,-27.45
Yallobup Swamp,120.45,-33.81667
Yallmunging,116.85,-31.33333
Yallingup,115.1,-33.7
Yallingup,115.03333,-33.65
Yalleen,116.38333,-21.83333
Yalleen,116.66667,-21.65
Yallawun Pool,119.3,-28.28333
Yallawun Creek,119.3,-28.3
Yallawery Well,116.95,-24.28333
Yallarrie Well,115.63333,-24.21667
Yalla Rockhole,131.63333,-31.41667
Yallari Well,121.4,-31.11667
Yallantharrow Well,118.1,-27.98333
Yallamungie Pool,124.33333,-18.06667
Yallalong,115.5156,-27.42735
Yallahbiddy Well,119.33333,-27.45
Yallaburra Soak,121.98333,-31.38333
Yalkuri,139.11667,-39.6
Yalkra Well,114.15,-24.58333
Yalkalya Dam,114.55,-23.6
Yalgowra,117.95,-27
Yalgoo Spring,115.25,-22.96667
Yalgoo,116.68333,-28.33333
Yalgarra Well,115.65,-27.3
Yalgarra Spring,115.48333,-27.55
Yalgar Pool,117.95,-26.11667
Yalganimirra Rockhole,127.71667,-31.68333
Yalgamine Well,115.38333,-27.55
Yalgamine Creek,115.23333,-27.51667
Yalga,121.91667,-31.4
Yalco Creek,135.9,-16.21667
Yalbra,116.25,-25.68333
Yalbra,116.2,-25.6
Yalbarrin,118.11667,-31.95
Yalbalgo,114.6794,-25.18734
Yalanda Reservoir,136.71667,-33.28333
Yalanda Hill,136.7,-33.3
Yaladthulgo Springs,119.16667,-25.11667
Yalading Pool,120.63333,-20.71667
Yalabidie Well,113.5,-24.6
Yakoorga Rockhole,128.35,-31.8
Yakabindie,120.55,-27.63333
Yagar Rockhole,118.66667,-28.51667
Yaganoo,119.11667,-26.58333
Yagahong,118.65,-26.88333
Yadnarie Creek,136.4,-33.78333
Yadlamalka,137.88333,-32.03333
Yadina Rockhole,131.4,-29.96667
Yadgymurrin Creek,119.95,-25.36667
Yadgena Hill,116.16667,-30.68333
Yadgena Brook,115.98333,-30.66667
Yaddemooga Hills,117.21667,-26.36667
Yadadinia Rockhole,123.58333,-32.45
Yadacootea Well,118.38333,-27.7
Yacko Hill,138.73333,-32.13333
Yacke Yackine Dam,119,-30.31667
Yackelup Creek,116.51667,-34.18333
Yackara Creek,138.46667,-32.31667
Yackan Yarra Well,118.31667,-28.25
Yackamunda Waterhole,138.7,-16.98333
Yackamoorundie Creek,138.18333,-33.4
Yacka,138.43333,-33.56667
Yabooma Island,134.9482,-12.037
Yabmana Reservoir,136.68333,-33.65
Yabmana Creek,136.8,-33.8
Yabmana,136.7,-33.66667
Yabilyah Spring,114.93333,-24.6
